mfcc_mean,mfcc_std,chroma_mean,contrast_mean,zcr_mean,tempo,filename,label
3.1174057,51.81787,0.34995052,20.526880865533126,0.08306639113293343,[123.046875],blues.00000.wav,blues
-0.011521734,74.27404,0.3409451,20.67226372395401,0.056044256724071206,[67.99958882],blues.00001.wav,blues
3.3614147,52.99637,0.36356187,22.19179405371781,0.07630074799245357,[161.49902344],blues.00002.wav,blues
0.8785783,73.835556,0.40484834,21.428385815117593,0.03330894446594427,[63.02400915],blues.00003.wav,blues
-9.650855,63.25059,0.30859816,21.463016625301957,0.1015001421004257,[135.99917763],blues.00004.wav,blues
-8.226527,68.21866,0.30241403,22.544687671243373,0.09403986975135449,[69.83741554],blues.00005.wav,blues
-7.915309,73.897026,0.29140565,23.4258528702093,0.07302790308146284,[71.77734375],blues.00006.wav,blues
-4.55465,70.45916,0.3073145,22.44033374468572,0.06143500266060371,[92.28515625],blues.00007.wav,blues
3.4844196,54.3529,0.40899816,22.37343203527635,0.06402757957623839,[83.35433468],blues.00008.wav,blues
-6.9242187,73.48429,0.27401423,21.158176253924022,0.0792153184258901,[80.74951172],blues.00009.wav,blues
-4.6004357,69.24026,0.30396515,21.087885137697246,0.06298072271671827,[161.49902344],blues.00010.wav,blues
-8.579294,91.14616,0.36580706,20.797922500318005,0.04395891785990712,[161.49902344],blues.00011.wav,blues
-2.1759393,74.77123,0.2693326,22.127099844933312,0.06912392064144737,[184.5703125],blues.00012.wav,blues
-1.7678072,71.705345,0.2647263,21.41602694746701,0.051417300575657895,[107.66601562],blues.00013.wav,blues
-5.8429117,96.29564,0.32904086,21.61730175561216,0.045045834945820436,[151.99908088],blues.00014.wav,blues
-4.253308,78.999794,0.27034655,21.364320963764044,0.0637176797116873,[103.359375],blues.00015.wav,blues
-3.6595664,78.34426,0.30829644,21.05721565810718,0.061350725014512386,[198.76802885],blues.00016.wav,blues
-1.5104527,84.482124,0.30223948,21.719440276967333,0.04832397083010836,[172.265625],blues.00017.wav,blues
-4.7824364,79.719734,0.2700793,21.71347422895002,0.056131935710139316,[83.35433468],blues.00018.wav,blues
-3.6274316,81.63954,0.25735947,21.48130478408695,0.05887114817143963,[123.046875],blues.00019.wav,blues
-3.4003944,76.74385,0.30279943,20.069971284973434,0.05256015080785604,[135.99917763],blues.00020.wav,blues
-1.7152443,88.997856,0.3211421,22.15017830903346,0.04793735185274768,[99.38401442],blues.00021.wav,blues
-0.5275297,81.63853,0.30644202,22.285952452738858,0.05861340218653251,[95.703125],blues.00022.wav,blues
-4.320337,79.489456,0.28072098,21.828065781944638,0.052482675841718264,[184.5703125],blues.00023.wav,blues
-3.894539,90.54307,0.26310804,21.71705066459832,0.047297899937113,[103.359375],blues.00024.wav,blues
-2.168898,83.80061,0.29098073,21.023261507497562,0.05172493288022446,[92.28515625],blues.00025.wav,blues
-5.6890726,90.02696,0.27866608,21.957339782385755,0.051987591911764705,[83.35433468],blues.00026.wav,blues
-4.792635,78.54821,0.28870454,23.0219245837487,0.07235897288602941,[92.28515625],blues.00027.wav,blues
-3.964156,84.604706,0.2760109,21.40187790875382,0.04802843217879257,[103.359375],blues.00028.wav,blues
-9.018686,75.212204,0.280554,26.456134840917112,0.05292636174535604,[129.19921875],blues.00029.wav,blues
-6.990482,70.42201,0.2631294,26.843508342580435,0.03937580120452786,[151.99908088],blues.00030.wav,blues
-9.746158,72.96258,0.2536384,27.927204310349342,0.04296723829334365,[151.99908088],blues.00031.wav,blues
-11.89065,89.33493,0.27626824,26.985884311924384,0.03939318583107585,[143.5546875],blues.00032.wav,blues
-9.890762,77.94521,0.26082012,27.16162335947027,0.04196988982681889,[151.99908088],blues.00033.wav,blues
-8.4666815,71.959526,0.26211873,26.879584651572642,0.04570040392801858,[184.5703125],blues.00034.wav,blues
-5.0650086,62.761658,0.28824988,26.880773605750104,0.045430186363196595,[129.19921875],blues.00035.wav,blues
-8.887081,68.85378,0.23319606,27.362695099075683,0.03690378289473684,[151.99908088],blues.00036.wav,blues
-14.258257,99.491394,0.2486835,26.610892556474674,0.04816032858455882,[123.046875],blues.00037.wav,blues
-6.0805173,67.16996,0.2658965,27.193348898650097,0.044378038530379256,[86.1328125],blues.00038.wav,blues
-15.2067585,92.142525,0.25535825,26.36476116160492,0.03533878857875387,[117.45383523],blues.00039.wav,blues
4.5319643,49.112118,0.39779353,21.29927391418052,0.09765700585332818,[172.265625],blues.00040.wav,blues
5.14261,46.85091,0.38709408,21.788941046826455,0.10228887504837461,[129.19921875],blues.00041.wav,blues
3.2594647,58.090164,0.37768537,23.417019150885185,0.09786448759191177,[89.10290948],blues.00042.wav,blues
4.2004514,49.137024,0.39904937,20.79564245545692,0.08716538373161764,[129.19921875],blues.00043.wav,blues
5.3391185,47.356922,0.39016002,21.730343721527653,0.09257049088138544,[135.99917763],blues.00044.wav,blues
4.370103,59.172325,0.42972082,21.93194037726016,0.048051863631965945,[129.19921875],blues.00045.wav,blues
1.6593107,63.746624,0.38791007,21.420789605244117,0.05842595056114551,[123.046875],blues.00046.wav,blues
0.9222871,56.345776,0.33643755,22.393058828529433,0.07534497145897832,[151.99908088],blues.00047.wav,blues
4.028836,49.20208,0.37941048,21.606794963912847,0.09881232766544118,[123.046875],blues.00048.wav,blues
-3.0756001,83.42498,0.27759212,22.551669577444983,0.03997292533378483,[123.046875],blues.00049.wav,blues
7.4077163,46.39972,0.40090895,21.13298109773592,0.08580598152089783,[135.99917763],blues.00050.wav,blues
7.6919866,44.20361,0.39371133,21.550471558373605,0.1066270952254257,[99.38401442],blues.00051.wav,blues
0.10791818,78.796394,0.3390607,22.66217283362111,0.06719384916795666,[151.99908088],blues.00052.wav,blues
5.031733,47.314594,0.4124909,21.655615891225885,0.13280229598006965,[103.359375],blues.00053.wav,blues
8.822017,44.086662,0.4528756,20.88016669046904,0.10338599615421827,[89.10290948],blues.00054.wav,blues
4.966832,49.683147,0.4328375,21.231072540811144,0.11316673822078173,[135.99917763],blues.00055.wav,blues
3.1588376,57.813282,0.39237878,23.36513552734204,0.07547951335139319,[161.49902344],blues.00056.wav,blues
5.8182764,50.63213,0.42432162,21.251939504987064,0.08992387045278638,[92.28515625],blues.00057.wav,blues
3.5735574,49.06017,0.35666835,22.21574491939028,0.10437162889415634,[107.66601562],blues.00058.wav,blues
5.7875466,45.16216,0.40606847,21.906783573849367,0.14228825524864552,[107.66601562],blues.00059.wav,blues
8.176094,45.250217,0.43093038,20.970017310525567,0.09745368130804953,[151.99908088],blues.00060.wav,blues
4.2540655,46.083946,0.45192987,22.275583001148558,0.16758439858262383,[129.19921875],blues.00061.wav,blues
-3.936084,55.74128,0.3118191,23.605313145689752,0.11714895148026316,[112.34714674],blues.00062.wav,blues
-4.9802036,49.197395,0.33039847,23.107807251004985,0.15435583155959753,[92.28515625],blues.00063.wav,blues
-1.3300123,42.804195,0.33248457,22.136256465756787,0.14685171971749225,[78.30255682],blues.00064.wav,blues
-5.3040996,47.00656,0.29269594,22.776329277297258,0.14631846519446595,[107.66601562],blues.00065.wav,blues
-0.47278666,49.591415,0.3748415,22.520711716180227,0.1217751517753483,[161.49902344],blues.00066.wav,blues
-0.3592301,46.2197,0.33793774,22.469715961851943,0.11276500217685759,[161.49902344],blues.00067.wav,blues
-2.036174,47.23575,0.2895239,22.329996613959924,0.13514619715073528,[161.49902344],blues.00068.wav,blues
-6.156754,50.779167,0.29198298,23.294373693099473,0.12514096664570434,[78.30255682],blues.00069.wav,blues
-3.6107368,53.97642,0.3226874,22.62931797521101,0.0983489895752709,[143.5546875],blues.00070.wav,blues
0.13226916,43.53527,0.30524948,22.575953555769637,0.13468663832720587,[73.828125],blues.00071.wav,blues
-4.7673078,47.724693,0.30702657,23.46540713038437,0.12924562814434984,[103.359375],blues.00072.wav,blues
7.5289993,37.94188,0.34202734,22.40974227261676,0.10056968665344428,[99.38401442],blues.00073.wav,blues
6.1071343,38.421307,0.36717397,22.208846837563502,0.12091612446787926,[112.34714674],blues.00074.wav,blues
6.579256,48.304314,0.4664576,21.071799480907313,0.10858664497871517,[117.45383523],blues.00075.wav,blues
7.4081616,35.91025,0.36558747,23.45163277457035,0.1364685625483746,[117.45383523],blues.00076.wav,blues
7.9037466,38.90516,0.40887603,21.404339884252124,0.11152578064531733,[99.38401442],blues.00077.wav,blues
8.589851,36.277367,0.4142576,20.967095449770806,0.12386319659442724,[123.046875],blues.00078.wav,blues
9.974795,34.138153,0.42153448,21.784126245048437,0.12473545133513932,[78.30255682],blues.00079.wav,blues
5.574103,44.20786,0.36825618,22.629794130766523,0.09403873597136223,[117.45383523],blues.00080.wav,blues
4.3580103,43.474724,0.38028282,22.658978979084925,0.12727247303115324,[103.359375],blues.00081.wav,blues
5.811302,39.21419,0.3388864,22.550612909957202,0.10515129160216719,[123.046875],blues.00082.wav,blues
9.460208,35.967426,0.4273561,21.183338711967636,0.11795053393479102,[135.99917763],blues.00083.wav,blues
7.0733824,42.402443,0.39630073,21.786596718962734,0.11339689555921052,[112.34714674],blues.00084.wav,blues
1.7478125,68.41457,0.31538674,24.03996949178279,0.059416496347716716,[143.5546875],blues.00085.wav,blues
0.8234544,77.40291,0.365903,21.167759614994154,0.04882661329334365,[123.046875],blues.00086.wav,blues
1.7506185,61.626026,0.33674198,22.664558395913968,0.050889337025928794,[172.265625],blues.00087.wav,blues
2.513657,72.44952,0.37787387,20.581541449078376,0.03206556574109907,[172.265625],blues.00088.wav,blues
